RoomCode,UserId,ClosedBy,ClosingComment,ChatStartTime,ChatEndTime,AgentAssignmentTimestamp,BotFirstResponseTime,AgentFirstResponseTime,CsatScore
8528073,e2ff5f48-5f2b-4bb6-894b-fad28843fe0b,System,Closing inactive room,04-02-2021 10:39:34,04-02-2021 11:40:20,-,0:00:00,-,0
8674865,362f984a-1487-4fd8-85b2-1e2a94442f9b,System,Closing now,26-02-2021 12:51:37,26-02-2021 12:55:27,-,0:00:00,-,0
8543522,4ae0951a-4ba4-4e2f-863b-eb1fab965933,System,Closing inactive room,06-02-2021 12:17:00,06-02-2021 13:17:07,-,0:00:00,-,0
8581336,b675563d-8906-4b9d-9368-fda6f21b16d5,System,Closing now,11-02-2021 19:24:24,11-02-2021 19:25:03,-,0:00:01,-,0
8613422,b254a88e-4b76-4667-8352-f1583d71da1a,Nisha,Unresponsive Customer,16-02-2021 14:37:17,16-02-2021 14:59:54,16-02-2021 14:39:56,0:00:00,0:00:04,3
8584430,e80c3f6c-08ee-4200-8e1d-909b8ab92440,Kabir,Completed,12-02-2021 10:35:53,12-02-2021 10:50:28,12-02-2021 10:37:12,0:00:00,0:00:42,5
8681307,1c50de43-4d39-41e7-9baf-2a6bf472abfe,Priti,Completed,27-02-2021 13:33:34,27-02-2021 14:10:49,27-02-2021 14:04:45,0:00:00,0:00:05,0
8551871,61febbf0-28bd-4df1-88ce-026ff1676e71,System,Closing inactive room,07-02-2021 16:19:43,07-02-2021 17:20:06,-,0:00:00,-,0
8579238,652da3b7-761a-4f2a-a2ec-ba9254253cc4,System,Closing inactive room,11-02-2021 14:58:29,11-02-2021 15:58:48,-,0:00:00,-,0
8591541,73ad50b4-b20a-431e-ad16-d17f489f36b2,System,Closing inactive room,13-02-2021 10:27:25,13-02-2021 11:28:19,-,0:00:00,-,0
8635975,388003d3-f163-424f-9240-7030553b2d71,System,Closing now,19-02-2021 22:25:21,19-02-2021 22:27:00,-,0:00:00,-,1
8655086,f70c607b-6b9e-4e12-81b2-e97f0679338f,System,Closing inactive room,23-02-2021 12:25:50,23-02-2021 13:26:11,-,0:00:00,-,0
8624407,aaf7ae20-6628-4951-be83-781e9ece3bfe,Mohsin,Completed,18-02-2021 08:50:09,18-02-2021 08:54:11,18-02-2021 08:51:21,0:00:00,0:00:06,4
8636764,9ebe649e-b364-417d-8027-cfba25903c35,System,Closing inactive room,20-02-2021 01:50:05,20-02-2021 02:50:40,-,0:00:00,-,0
8676274,1d314a93-171f-47a8-971f-6e8156e06d75,Samy,Completed,26-02-2021 15:50:02,26-02-2021 16:28:41,26-02-2021 15:55:01,0:00:00,0:00:04,0
8613205,bd303bf9-fb0e-43ef-90a1-baa78628105a,Adaa,Completed,16-02-2021 14:12:31,16-02-2021 14:33:58,16-02-2021 14:13:07,0:00:00,0:00:08,4
8546913,9f22dd90-fe27-4df5-905e-c2619ef281cc,System,Closing inactive room,06-02-2021 19:28:24,06-02-2021 20:28:48,-,0:00:00,-,0
8651338,3c3c3a33-291f-4ee3-a3ae-2b2758aa5274,System,Closing inactive room,22-02-2021 17:23:22,22-02-2021 18:23:40,-,0:00:00,-,0
8562386,171ef212-3a78-43df-aaed-9c9efe8ead6d,Vikram,Completed,09-02-2021 10:25:23,09-02-2021 11:09:42,09-02-2021 11:04:31,0:00:00,0:00:16,5
8657382,af389985-eb3a-4934-bc81-530ffa977730,Deepa,Completed,23-02-2021 17:39:54,23-02-2021 18:28:57,23-02-2021 17:42:00,0:00:04,0:00:07,0
